sample_id,risk_score,risk_group,z_CLCN5,z_ARHGEF5,z_ITGB2,z_TRIM32,z_SAT1,z_ACOX2
BA3163R,0.678128953341985,high_risk,2.14358050855504,0.0430346180612005,1.28519812380846,0.684110108338913,1.26655806291239,2.58576163129093
BA3430R,0.626320595387025,high_risk,1.59929877807229,1.37257427912172,0.643976600006142,-0.505188466365148,2.05203848157898,2.27797849609599
BA2412R,0.619064670221126,high_risk,2.20714970196119,0.6033960779396,1.38593577405341,0.300746199658329,0.655976834536598,-0.815369529418634
BA3235R,0.607406164667481,high_risk,1.89488523485258,0.0249233845218801,1.3207989140854,0.744551390511829,1.32684051646221,0.876035422601732
BA2885R,0.598545013291632,high_risk,1.51338946788108,0.579547240463912,1.3028590961303,1.0226440551824,0.469046862840373,2.23170016729674
BA2104R,0.596605734037221,high_risk,1.9023676069454,-0.162180732685517,1.59650973835006,0.593239533715503,1.16879829476846,1.15313208261607
BA2377R,0.589694722267594,high_risk,1.63850956003139,1.61916034484911,-0.214364277114885,1.06686030948908,0.624023358614281,1.03414175027646
BA2901R,0.583546951963193,high_risk,1.0832462988965,1.53386512130566,0.832213498197641,0.202982518406201,1.57151909620002,1.71778397630731
BA3225R,0.583220642497798,high_risk,1.85262091079329,-0.53818567666034,1.56219678979108,0.86719650581934,2.01850666218386,-0.416622093478158
BA2079R,0.568027624398538,high_risk,1.41891650263121,1.19306312889601,1.18458370193133,-0.0389050939220498,1.42449596340972,-0.0824098426495389
BA2492R,0.564545192867773,high_risk,1.60990613571583,1.19056832588024,0.985455686110585,-0.65888431136208,1.2095852165681,1.86877649466771
BA2325R,0.559604798758249,high_risk,1.56456614090528,0.00940955247293073,1.53991678201767,0.41463679715326,1.4592643896753,1.29540002940622
BA3367R,0.559177123077474,high_risk,1.2394850814236,2.37386493883744,1.10946427483218,-1.21812247624605,1.25434793456784,-0.144093033923244
BA3174R,0.557946946698132,high_risk,1.34136655598527,0.764247530140964,1.65627966299761,0.0412336500011736,0.878197451767743,1.65435065175829
BA2348R,0.547635686975163,high_risk,1.6411522602597,1.02701836884915,1.339027708664,-1.01383150203858,1.34247969413227,1.11986401732714
BA2304R,0.545506517953387,high_risk,2.15980852506891,-0.78325727700385,1.22544649152013,0.56633485242622,0.725415167995965,2.80925641270994
BA2116R,0.544289489577163,high_risk,0.675009981851736,2.367866518452,0.0593777264816584,0.515746424761895,1.4592643896753,1.24134355228393
BA2134R,0.543981558075709,high_risk,1.57819304413161,0.266882557208616,1.4757049557707,1.07549582657196,0.123642004628074,0.910857901830313
BA2512R,0.536095276552376,high_risk,1.62722042744442,0.1116622935379,1.56219678979108,0.595960564685611,0.46184815824083,1.32720492866392
BA3451R,0.530982587880982,high_risk,1.41520175594046,-0.173546716709186,1.77329236680379,1.03212614204614,0.513146942808146,1.70270358248532
BA2726R,0.519454001867119,high_risk,1.31245035846642,-0.396742275794969,1.40526450457614,1.03308509149846,1.44172948209241,1.95371534183055
BA2110R,0.517504023157446,high_risk,1.04682451106692,0.456979856537577,1.53991678201767,0.252881634260185,1.89905474778769,0.504300564421569
BA2842R,0.51682469433122,high_risk,1.37552249696486,0.56773139102366,1.41505641457862,-0.351220028626116,1.39088911243149,1.38782299990099
BA3390R,0.511452690203464,high_risk,1.31945764928246,0.211704219335461,1.24220388702054,0.17914818254896,1.79334964764045,1.07843259180093
BA3260R,0.501834347164416,high_risk,0.600583107573002,2.09407466351055,0.951931316523135,-0.380828486914939,1.44172948209241,0.894433800207294
BA2446R,0.496000371522078,high_risk,2.1364972437051,0.435890631755442,0.79665737847652,0.260733457317235,-0.87106703084988,1.87624907185841
BA2271R,0.494379483713792,high_risk,1.46481431959613,0.0848211825630946,1.92120799157505,0.625640300472504,0.22088415530883,-0.0260946319614678
BA2139R,0.489747340857396,high_risk,1.3635309505606,-0.178549852308913,1.70666665049395,0.641679097941903,0.82822301701981,0.987648266998855
