cell_type,n_cells,mean_score,median_score,score_name
Prog,1709,1.06475412511106,0.798461944959061,LSC17_core_score
unannotated,783,0.871533821903182,0.731140093351036,LSC17_core_score
HSC,1709,0.851866716698753,0.722767379587116,LSC17_core_score
HSC-like,1936,0.792679526001012,0.660861627195128,LSC17_core_score
earlyEry,1117,0.707919867121965,0.619442858794234,LSC17_core_score
GMP-like,1823,0.596034136994229,0.560153579453471,LSC17_core_score
GMP,918,0.374038293452235,0.187659393515802,LSC17_core_score
ProB,298,0.187672124676623,0.0363356745981975,LSC17_core_score
lateEry,1328,-0.0582540031033437,-0.0444740955888923,LSC17_core_score
pDC,225,-0.240838014185672,-0.648447652368453,LSC17_core_score
cDC-like,2068,-0.253570450435287,-0.637654701032149,LSC17_core_score
NK,1969,-0.36194164739578,-0.657866955352863,LSC17_core_score
ProMono,1146,-0.463842624552791,-0.637262230074464,LSC17_core_score
ProMono-like,1416,-0.486580637251512,-0.644431366234821,LSC17_core_score
T,7105,-0.517399741736258,-0.668463671210325,LSC17_core_score
cDC,849,-0.521310175798443,-0.699076405909659,LSC17_core_score
CTL,1338,-0.522605838806126,-0.670426025998744,LSC17_core_score
B,520,-0.546184513932158,-0.674350735575581,LSC17_core_score
Mono-like,2550,-0.633575537459859,-0.728707963214784,LSC17_core_score
Plasma,1146,-0.63809393060073,-0.733810085664673,LSC17_core_score
Mono,2758,-0.678060482632957,-0.746172920831711,LSC17_core_score
Mono-like,2550,1.63051049338644,1.29798925767346,Myeloid_suppressive_set_score
Mono,2758,1.60141374213753,1.29432387681876,Myeloid_suppressive_set_score
ProMono,1146,1.1918329774837,1.17563123734945,Myeloid_suppressive_set_score
ProMono-like,1416,1.12509119927143,1.19613662269695,Myeloid_suppressive_set_score
cDC,849,0.678842490592379,0.995301415111287,Myeloid_suppressive_set_score
GMP,918,-0.00746765416404049,-0.102964257775804,Myeloid_suppressive_set_score
cDC-like,2068,-0.0313860119406549,-0.644195777942952,Myeloid_suppressive_set_score
lateEry,1328,-0.0323349819248666,-0.104503026153483,Myeloid_suppressive_set_score
NK,1969,-0.277334907705054,-0.653151755691692,Myeloid_suppressive_set_score
earlyEry,1117,-0.299543578098066,-0.654846129860374,Myeloid_suppressive_set_score
B,520,-0.344210289284502,-0.654362022955036,Myeloid_suppressive_set_score
pDC,225,-0.34863483429337,-0.673968352621198,Myeloid_suppressive_set_score
Plasma,1146,-0.363795711591233,-0.687644372696978,Myeloid_suppressive_set_score
CTL,1338,-0.393175105452947,-0.656177423850051,Myeloid_suppressive_set_score
Prog,1709,-0.404800866552096,-0.674210406073867,Myeloid_suppressive_set_score
ProB,298,-0.406195850328008,-0.677236074232225,Myeloid_suppressive_set_score
T,7105,-0.512138023367462,-0.662349786893102,Myeloid_suppressive_set_score
HSC-like,1936,-0.527673278419968,-0.714149225764198,Myeloid_suppressive_set_score
Prog-like,3696,-0.537528008211569,-0.741985372821095,Myeloid_suppressive_set_score
GMP-like,1823,-0.556977115045993,-0.743679746989775,Myeloid_suppressive_set_score
HSC,1709,-0.55902345449969,-0.710276370521499,Myeloid_suppressive_set_score
unannotated,783,-0.617396428716433,-0.707129675636806,Myeloid_suppressive_set_score
Plasma,1146,0.712793117609801,0.639875826582927,PRFT_score
lateEry,1328,0.670017249226322,0.445116743624592,PRFT_score
earlyEry,1117,0.646036806059117,0.549225308210153,PRFT_score
ProMono,1146,0.564763154577767,0.529231746123483,PRFT_score
ProMono-like,1416,0.559098361606716,0.505325130816876,PRFT_score
GMP,918,0.471197720421853,0.41064533834044,PRFT_score
GMP-like,1823,0.356245771449053,0.316146147970312,PRFT_score
