Name,Perturbagen,Perturbation Type,Dose,Tissue,Cell Line,Disease,Timepoint,Data Level,Creation Time,z-score (up),z-score (down),log p-val (Fisher),log p-val (avg),p-value (up),z-score (sum),p-value (down),FDR (up),FDR (down),p-value Bonferroni (up),p-value Bonferroni (down),source_file,import_note
REP.A009_HA1E_24H_K19_PF-02545920_10uM,PF-02545920,Chemical,10 uM,kidney,HA1E,24 h,5,2021-05-21,-5.856165129593861,-6.537499523440516,42.65461296383161,19.84468131658288,4.752108040406711e-9,-12.393664653034378,6.287104170610291e-11,8.632684945572688e-7,1.281857328714592e-7,0.003294232575230538,0.00004358314917629613,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
PBIOA014_HEPG2_24H_K14_dasatinib_3.33uM,dasatinib,Chemical,3.33 uM,liver,HEPG2,carcinoma,24 h,5,2021-05-20,-6.1164870348994524,-6.253633027051169,42.39656131934376,21.106706178048725,9.603138284575152e-10,-12.370120061950622,4.027116418114929e-10,2.6065150767195633e-7,4.3963110358795914e-7,0.0006657039505941764,0.00027916575077835404,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A012_PC3_24H_H22_BRD-K01815685_0.37uM,BRD-K01815685,Chemical,0.37 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,2021-05-21,-6.912377400454856,-5.442397861944673,42.82214999218116,17.451862472559302,4.795497332565901e-12,-12.354775262399528,5.269178382505402e-8,4.924904716140254e-9,0.000012358840631310102,0.000003324310683394671,0.03652673492428482,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A005_A549_24H_I11_mibefradil_0.125uM,mibefradil,Chemical,0.125 uM,lung,A549,lung cancer,24 h,5,2021-05-21,-7.338343817563219,-4.962647395816072,43.33235371359581,14.87041965183726,2.1782575743145571e-13,-12.300991213379291,6.964479453142047e-7,4.886734059477236e-10,0.00007217643331005927,1.5100008243784657e-7,0.48278816241098643,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
ASG003_XC.P935_24H_H04_troglitazone_10uM,troglitazone,Chemical,10 uM,epithelium,XC.P935,24 h,5,2021-05-08,-5.48591376652952,-6.8087594809381775,42.34227778870186,17.696908489825606,4.123405172862249e-8,-12.294673247467697,9.902079156631771e-12,0.000004352682072340039,4.061698108026327e-8,0.02858406316905704,0.000006864269802564493,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A004_HELA_24H_J08_voreloxin_3.33uM,voreloxin,Chemical,3.33 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-20,-5.8823037298750425,-6.40344901824192,41.925377577560226,19.978497123453057,4.059296454528294e-9,-12.285752748116963,1.5261214514339372e-10,7.696841334042208e-7,2.250915493522929e-7,0.0028139651917258313,0.00010579302819557768,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
ASG003_U2OS_48H_N08_TW-37_0.74uM,TW-37,Chemical,0.74 uM,bone tissue,U2OS,osteosarcoma,48 h,5,2021-05-08,-6.4158531333181665,-5.828169651834328,41.68108663940404,19.665070927312655,1.406925687064131e-10,-12.244022785152495,5.621638488051417e-9,6.273157074042245e-8,0.000002660071074740316,0.00009753019901581617,0.003897004124494563,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
PCL001_HA1E_24H_L10_PFI-1_0.37uM,PFI-1,Chemical,0.37 uM,kidney,HA1E,24 h,5,2021-05-06,-7.575637561451987,-4.6647996335561315,43.64254784888957,13.379637963933448,3.597122599785507e-14,-12.240437195008118,0.0000030926235097261667,1.234445219312035e-10,0.00020150888300543516,2.4935793430103104e-8,1,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.B013_A375_24H_G17_bortezomib_20uM,bortezomib,Chemical,20 uM,skin of body,A375,melanoma,24 h,5,2021-05-22,-6.414925458569147,-5.805413532906877,41.538974306159105,19.53202567985931,1.4155165928286806e-10,-12.220338991476023,6.44076880718103e-9,6.298185718213953e-8,0.000002932118758487862,0.00009812573348977338,0.004464837548669998,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A011_HELA_24H_L15_fusidic-acid_1.11uM,fusidic-acid,Chemical,1.11 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-21,-5.762933817317453,-6.449926489933076,41.51664918828358,19.287721728642857,8.291421771389196e-9,-12.21286030725053,1.1243961317575213e-10,0.0000012994274833567947,1.8235693775786198e-7,0.005747737943253561,0.00007794482644762901,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
