cell_state,n_cells,mean_PRFT_score_formula_A,median_PRFT_score_formula_A,mean_PRFT_module_score,median_PRFT_module_score,mean_proteostasis_module_score,mean_ferroptosis_tolerance_module_score,mean_myeloid_suppressive_module_score,formula_source
LSC-like cells,3645,-0.0670506396422118,-0.149990265376434,-0.0733254348606022,-0.11504076163504,-0.113877503361703,-0.0327733663595003,-0.542372167561325,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
progenitor-like cells,8146,-0.0597734083329198,-0.149990265376434,0.2757659847706,0.200789761959699,0.429434587236578,0.122097382304624,-0.454300612145706,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
monocyte-like cells,7870,0.156090596260507,0.112892781985855,0.265730832461239,0.197830795994362,0.222927993155774,0.308533671766705,1.4654981689092,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
differentiated myeloid-like cells,3142,0.11526676139558,0.0370743125915575,0.179611959165166,0.113194755608442,0.0643553881338407,0.294868530196491,0.137806544908863,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
immune-related cell states,10740,-0.0569513996485581,-0.149990265376434,-0.496780800582382,-0.598994060702264,-0.485625182493717,-0.507936418671047,-0.445131501416068,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
other_or_unclassified,4864,-0.0509106412158218,-0.149990265376434,0.144051165545532,-0.0826445088804181,0.0361586917052425,0.251943639385822,-0.31004668809838,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
