gene_symbol,direction_in_PRFT_high,log2FC,FDR,rank,used_for_CMap,source_DEG_file,comment
ANKRD35,upregulated_in_PRFT_high,1.82974037690458,4.01179577959437e-06,23,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
AZU1,upregulated_in_PRFT_high,1.78864889067097,0.000809103070348977,24,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
ALDH1A1,upregulated_in_PRFT_high,1.77661853782412,0.000911957077821703,25,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PTGDS,upregulated_in_PRFT_high,1.77656766907245,0.000640401640544603,26,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CSTA,upregulated_in_PRFT_high,1.77503151563755,4.82515653780726e-05,27,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SLC22A15,upregulated_in_PRFT_high,1.7745541165464,0.000165995743365242,28,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CPNE8,upregulated_in_PRFT_high,1.77393217054265,0.00443423199342994,29,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
FBP1,upregulated_in_PRFT_high,1.76166225608127,3.36316530721466e-05,30,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CD1D,upregulated_in_PRFT_high,1.75388583266508,0.000308998064045794,31,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
TMEM105,upregulated_in_PRFT_high,1.73336905907512,0.000688543290606136,32,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
LDLRAD3,upregulated_in_PRFT_high,1.73224925153703,0.000404412168066067,33,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MYOF,upregulated_in_PRFT_high,1.71872123763701,0.00180744896447536,34,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
HOXA7,upregulated_in_PRFT_high,1.7172495990377,0.0141481317084864,35,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MEFV,upregulated_in_PRFT_high,1.71414323710239,0.000996729212676147,36,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PTGER3,upregulated_in_PRFT_high,1.7105165731088,0.000951508202112608,37,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
KCNJ2,upregulated_in_PRFT_high,1.7048632050254,6.431041349904e-05,38,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
GTSF1,upregulated_in_PRFT_high,1.70464148623364,0.0238152132691205,39,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
ADAMTS5,upregulated_in_PRFT_high,1.69942346966053,8.30067806789058e-05,40,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MOSC2,upregulated_in_PRFT_high,1.6987556802994,0.00120461576520105,41,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SERPINA1,upregulated_in_PRFT_high,1.6930601978081,0.0018097520209366,42,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CTSL1,upregulated_in_PRFT_high,1.69189092488641,1.62323385715575e-05,43,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
ELOVL3,upregulated_in_PRFT_high,1.68746399358461,1.58965328015458e-06,44,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SLC6A12,upregulated_in_PRFT_high,1.68572763966855,0.000147068025988323,45,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
FAM110B,upregulated_in_PRFT_high,1.68324307671747,0.000258474081724072,46,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
HOXA6,upregulated_in_PRFT_high,1.68174179363808,0.0109383228167706,47,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SATB2,upregulated_in_PRFT_high,1.67990863405507,1.71919205120032e-06,48,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
HOXA10,upregulated_in_PRFT_high,1.67683849238173,0.00831328778723417,49,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
