gene_symbol,coefficient,coefficient_text,formula_version,formula_source
CLCN5,0.188924719930696,0.188924719930696011,LOCKED_formula_A,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
ARHGEF5,0.128453601923707,0.128453601923707000,LOCKED_formula_A,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
TRIM32,0.0932947648977905,0.093294764897790497,LOCKED_formula_A,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
ITGB2,0.0918906682631021,0.091890668263102104,LOCKED_formula_A,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
SAT1,0.0836005384680431,0.083600538468043106,LOCKED_formula_A,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
ACOX2,0.036651346126317,0.036651346126317000,LOCKED_formula_A,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\00_LOCKED_FORMULA\LOCKED_PRFT_six_gene_formula_A_coefficients.csv
