check_item,category,file_path,status,sha256,required,notes
Supplementary Figure S8,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S8__phase4b_PRFT_high_like_fraction_patient_level.pdf,present,f7651216dac583a5cbbb9ff897a45320166e18ce3d62ab149415fba796bb5174,true,
Supplementary Figure S9,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S9__phase6_GSE14468_KM.pdf,present,8365550477af05ca23d574189efc037de1ed9b816aa49edbfcc1b1dc35fb1b9d,true,
Supplementary Figure S9,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S9__phase6_GSE6891_KM.pdf,present,415a49d0ab09e7cbd7ffc332f14c2601bd8657d9f1df3ffa93c6067228273d8e,true,
Supplementary Figure S10 forbidden,forbidden,,absent_ok,,false,must be absent
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S10__phase5_consensus_hub_genes.csv,present,4283f464477db7e2b17f3afd180a477acb046863cc53ab5d43eddb549d473f83,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S10__phase5_FS12_PPI_top20.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S10_part1.csv,present,4283f464477db7e2b17f3afd180a477acb046863cc53ab5d43eddb549d473f83,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S10_part2.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S11__phase3C_BeatAML_drug_correlation_all.csv,present,7302ee6a1bc29b110b0d241c951ad85874c63c439a416086ff1faafc72e89c60,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S11__phase3C_fix_main_vs_supplement_recommendation.csv,present,0b1bd500f35ac6c655bc06ec6ca4496d0cbb02248575fe67a975de75af51d4b8,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S11_part1.csv,present,7302ee6a1bc29b110b0d241c951ad85874c63c439a416086ff1faafc72e89c60,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S11_part2.csv,present,0b1bd500f35ac6c655bc06ec6ca4496d0cbb02248575fe67a975de75af51d4b8,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S12__phase4b_mixed_effect_models.csv,present,cbad236df7fb2aad13b562a04c28f8f65893297dc83800f6d37cffc8d05343a7,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S12__phase4b_patient_celltype_pseudobulk_scores.csv,present,f56db75777c66e1735f11f02d0bf46e24b9807921db34144add4d5bfd63ea168,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S12_part1.csv,present,f56db75777c66e1735f11f02d0bf46e24b9807921db34144add4d5bfd63ea168,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S12_part2.csv,present,cbad236df7fb2aad13b562a04c28f8f65893297dc83800f6d37cffc8d05343a7,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S13__phase7_cleanup_main_signature_pathway_summary.csv,present,c5e9c9e702109adf3fd17e1167c122097f875296b99f111545979c4ad9081dd6,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S13__phase7_pathway_cross_cohort_consistency.csv,present,0d6d4ebe1e210955ba6acc4950eed723fe21115a8fc4b8acefab0493891eab8d,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S13_part1.csv,present,c5e9c9e702109adf3fd17e1167c122097f875296b99f111545979c4ad9081dd6,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S13_part2.csv,present,0d6d4ebe1e210955ba6acc4950eed723fe21115a8fc4b8acefab0493891eab8d,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S14.csv,present,0729dbcfbd7f2716992efcc5ea559cad7b6a30373dacf8fed187b00f4c040cb0,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S14__phase6_external_validation_interpretation.csv,present,0729dbcfbd7f2716992efcc5ea559cad7b6a30373dacf8fed187b00f4c040cb0,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S15__phase8A_AS_candidate_file_classification.csv,present,00484ae44f3fc693bb0ae9c0f68c2bb8f3ace19bd7cf03de04ac7958a56f93c3,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S15__phase8A_AS_feasibility_report.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S15_part1.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S15_part2.csv,present,00484ae44f3fc693bb0ae9c0f68c2bb8f3ace19bd7cf03de04ac7958a56f93c3,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S1__phase1_fix_sample_flow.csv,present,261a984d670f35092be8dabcb04abf20eb312f80481e65f130250a326fb8ca46,true,
