planned_combination_id,algorithm,package,package_available,package_note,feature_strategy,planned_gene_count,planned_genes,feature_set_available
M012,Elastic Net-Cox,glmnet,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M013,GBM-Cox,gbm,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M014,LASSO-Cox,glmnet,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M015,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M016,Ridge-Cox,glmnet,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M017,Stepwise Cox,MASS,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M018,SuperPC,superpc,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M019,Survival-SVM,survivalsvm,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M020,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M021,CoxBoost,CoxBoost,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M022,Elastic Net-Cox,glmnet,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M023,GBM-Cox,gbm,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M024,LASSO-Cox,glmnet,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M025,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M026,Ridge-Cox,glmnet,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M027,Stepwise Cox,MASS,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M028,SuperPC,superpc,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M029,Survival-SVM,survivalsvm,TRUE,primary package available,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M030,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS03_unicox_p001,18,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2,TRUE
M031,CoxBoost,CoxBoost,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M032,Elastic Net-Cox,glmnet,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M033,GBM-Cox,gbm,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M034,LASSO-Cox,glmnet,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
