planned_combination_id,algorithm,feature_strategy,actual_genes,gene_count,converged,failure_reason,TCGA_C_index,TCGA_AUC_1year,TCGA_AUC_3year,TCGA_AUC_5year,TCGA_IBS,GSE37642_C_index,GSE37642_AUC_1year,GSE37642_AUC_3year,GSE37642_AUC_5year,GSE37642_HR,GSE37642_P_value,GSE12417_C_index,GSE12417_AUC_1year,GSE12417_AUC_3year,GSE12417_AUC_5year,GSE12417_HR,GSE12417_P_value,combined_GPL570_C_index,combined_GPL570_AUC_1year,combined_GPL570_AUC_3year,combined_GPL570_AUC_5year,combined_GPL570_HR,combined_GPL570_P_value,all_external_HR_direction_consistent,external_at_least_one_significant,combined_GPL570_significant
M001,CoxBoost,FS01_all_33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.667198821073315,0.751858801074711,0.718829605710179,0.835686002102807,0.226213385199199,0.594080078604765,0.622859746205691,0.667632404541322,0.600906894972972,2.22932066421864,0.00443923383954957,0.615415821501014,0.631431716547436,0.684669055368063,0.531961616385605,2.29645043438967,0.0260272483915169,0.603028442807448,0.625043198444719,0.673816730549313,0.600675852338281,2.26302062561864,0.00027023437116707,TRUE,TRUE,TRUE
M002,Elastic Net-Cox,FS01_all_33,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.661549797371976,0.74835000254017,0.71470572017558,0.823947751014628,0.226241554469056,0.596045197740113,0.62508275513162,0.678115857209669,0.617857803762153,3.90581552523524,0.00284398633115257,0.622718052738337,0.642966688535387,0.694609538305194,0.547453682452492,4.24524849694764,0.0188768308819513,0.60512584407612,0.627934554993862,0.682193472945639,0.618460972305915,4.04681056992006,0.000132145425058663,TRUE,TRUE,TRUE
M003,GBM-Cox,FS01_all_33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.941544885177453,0.992664041762839,0.988480699063065,0.996418505856512,0.167414891742668,0.554163596168018,0.596886752495118,0.600337359166978,0.56336188045602,1.13102040393211,0.19886055971179,0.638539553752536,0.658511868943843,0.696764150048692,0.594624453414295,1.4455013101703,0.00915359099362004,0.583282177204829,0.615099150814086,0.629847532140956,0.574839060417728,1.22703978267553,0.00972187564234861,TRUE,TRUE,TRUE
M004,LASSO-Cox,FS01_all_33,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.664742723811863,0.750556470766163,0.716405018819724,0.838116070850235,0.226287417016021,0.593465978874969,0.621523309595922,0.669865645681607,0.605954128901856,2.50980356757162,0.00406054635603685,0.613387423935091,0.630791780642872,0.687929810114431,0.540518510330334,2.62121710115248,0.0250803066334238,0.602465725393902,0.623888554523485,0.676336370630237,0.606644378867727,2.56091624515165,0.00024138781173841,TRUE,TRUE,TRUE
M005,Random Survival Forest,FS01_all_33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.862090138769495,0.966211901131338,0.936959994391707,0.955468757928127,0.175858553046447,0.563743551952837,0.582709649552654,0.628727070022147,0.577664477486816,1.01670825939559,0.0607690142891332,0.600811359026369,0.591016454160984,0.702808381889973,0.588178636223124,1.02379593938044,0.0408658614239802,0.582770615919787,0.591053202041104,0.654804488570103,0.567940592281269,1.01983923224241,0.00487839874047773,TRUE,TRUE,TRUE
M006,Ridge-Cox,FS01_all_33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.638830897703549,0.717480577433595,0.69620057678324,0.815580788629132,0.236514753276918,0.569393269466961,0.58405691001978,0.584246565145645,0.552329624937617,2.38967149542497,0.0989935733082435,0.567139959432049,0.545790639112645,0.632806631614903,0.526121906787228,2.05085138319533,0.274676562939486,0.570186208307755,0.569396123169918,0.60071545872894,0.551995378574014,2.25305147432321,0.046889674504972,TRUE,FALSE,TRUE
M007,Stepwise Cox,FS01_all_33,CLCN5;ITGB2;TRIM32;SAT1;HOXB5;FGR;ACOX2;HOXB7;NINJ1,9,TRUE,"",0.686233574849564,0.749624282515543,0.733909896523793,0.699795174074967,0.229695879896533,0.540039302382707,0.533615839654721,0.570907355628441,0.546530357241235,1.27475928949314,0.1686557594904,0.587829614604463,0.602147434782129,0.614856211433229,0.570684844921443,1.35298676915593,0.162660565864581,0.557039083282177,0.55406607931326,0.582479392598464,0.545999503175857,1.31403079834725,0.0455497339391096,TRUE,FALSE,TRUE
M008,SuperPC,FS01_all_33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.612550657006017,0.677469297926836,0.660211193053107,0.758499952375985,0.24775524742507,0.570744288872513,0.583863939229544,0.576404875682079,0.554758605788665,1.24001080430942,0.199694364797418,0.568356997971602,0.563634156960831,0.636838124229436,0.531663268427692,1.17730624073691,0.443164270114787,0.570953550235318,0.575892716922225,0.594945162133319,0.553600651908796,1.21567212819864,0.135845600681723,TRUE,FALSE,FALSE
M009,Survival-SVM,FS01_all_33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.364239223873265,0.284819889515352,0.310399892148501,0.196842987270686,0.352717993468181,0.430729550478998,0.417487767401209,0.411157768332665,0.440895507163784,0.999157616410335,0.084192143750611,0.438133874239351,0.460604476326191,0.365801475628383,0.379491181585797,0.999289073196242,0.241383747715885,0.431297319418866,0.433509116012379,0.396777131318393,0.441914562827103,0.999208281029051,0.0359702619620358,FALSE,FALSE,TRUE
M011,CoxBoost,FS02_unicox_p005,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,33,TRUE,"",0.667198821073315,0.751858801074711,0.718829605710179,0.835686002102807,0.226213385199199,0.594080078604765,0.622859746205691,0.667632404541322,0.600906894972972,2.22932066421864,0.00443923383954957,0.615415821501014,0.631431716547436,0.684669055368063,0.531961616385605,2.29645043438967,0.0260272483915169,0.603028442807448,0.625043198444719,0.673816730549313,0.600675852338281,2.26302062561864,0.00027023437116707,TRUE,TRUE,TRUE
