rank,gene_symbol,in_original_6gene
1,IL10,FALSE
2,HSP90AA1,FALSE
3,STAT1,FALSE
4,HSP90AB1,FALSE
5,TGFB1,FALSE
6,CXCL8,FALSE
7,CD274,FALSE
8,ITGAM,FALSE
9,JAK2,FALSE
10,NFE2L2,FALSE
11,HSPA5,FALSE
12,STAT5A,FALSE
13,CSF1R,FALSE
14,STAT5B,FALSE
15,SQSTM1,FALSE
16,CALR,FALSE
17,FCGR3A,FALSE
18,CD163,FALSE
19,IRF1,FALSE
20,IDO1,FALSE
