dataset_id,dataset,local_data_exists,expression_matrix_found,platform_annotation_found,platform,sample_count,log2_likely,probe_to_gene_mapping_possible,model_gene_available_count,model_genes_available,model_genes_missing,probe_selection_rule,os_time_column,os_status_column,os_time_unit,os_time_found,os_status_found,expression_clinical_matchable,survival_usable_samples,event_count,formal_external_validation_suitable,exclusion_reason
GSE6891_GPL570,GSE6891,TRUE,TRUE,TRUE,GPL570,537,TRUE,TRUE,1,ITGB2,CLCN5;ARHGEF5;TRIM32;SAT1;ACOX2,Highest probe IQR within cohort among probes mapped to the same gene symbol; mean expression tie-breaker.,"","",not_found,FALSE,FALSE,TRUE,0,0,FALSE,insufficient model genes: 1/6 available (ITGB2) | no OS_time endpoint detected in local series_matrix | no OS_status endpoint detected in local series_matrix
GSE14468_GPL570,GSE14468,TRUE,TRUE,TRUE,GPL570,526,TRUE,TRUE,1,ITGB2,CLCN5;ARHGEF5;TRIM32;SAT1;ACOX2,Highest probe IQR within cohort among probes mapped to the same gene symbol; mean expression tie-breaker.,"","",not_found,FALSE,FALSE,TRUE,0,0,FALSE,insufficient model genes: 1/6 available (ITGB2) | no OS_time endpoint detected in local series_matrix | no OS_status endpoint detected in local series_matrix
