feature_set,interpretation_class,algorithm,rank,gene_symbol,importance,mean_abs_shap,importance_sd,explanation_method
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,7,GCLM,0.303593318559488,0.303593318559488,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,8,GCLM,0.0115744453354718,,0.00538618481564188,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,8,SLC40A1,0.193286344279788,0.193286344279788,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,9,GCLC,0.00793905372894951,,0.00225783588919159,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,9,SOCS1,0.136648746853361,0.136648746853361,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,10,CISD1,0.00707030205827323,,0.00179144146372241,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,10,STAT5B,0.131746928753988,0.131746928753988,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,11,HSP90AA1,0.00388933440256619,,0.00175449825014592,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,11,CISD1,0.121622695679093,0.121622695679093,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,12,CANX,0.00346164127238707,,0.00185351894937906,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,12,CANX,0.111568171967015,0.111568171967015,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,13,STAT5B,0.00217856188184981,,0.000721264491306156,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,13,EIF2AK3,0.109913458926549,0.109913458926549,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,14,GCH1,0.00215183106121362,,0.00103422524191954,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,14,PSMC4,0.10525432531049,0.10525432531049,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,15,PSMC4,0.00183106121357928,,0.00205424805836271,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,15,P4HB,0.0982575698922566,0.0982575698922566,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,16,DNAJB1,0.00157711841753544,,0.000955104852239955,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,16,FTL,0.0780514052159266,0.0780514052159266,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,17,SOCS1,0.00145682972467258,,0.00156811954501734,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,17,HSP90AA1,0.0705860331331547,0.0705860331331547,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,18,HSPA5,0.0012964448008554,,0.0016260333755519,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,18,JAK1,0.0691412314234269,0.0691412314234269,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,19,SQSTM1,0.00110932905640208,,0.000758813250198494,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,19,ERN1,0.0613372270610033,0.0613372270610033,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,20,FTL,0.000668270515904856,,0.00130802087284177,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,20,PSMB5,0.0600217676296227,0.0600217676296227,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,21,ERN1,0.000574712643678199,,0.00100621017152124,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,21,DNAJB1,0.0512231976827445,0.0512231976827445,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,22,SLC3A2,0.000414327719861052,,0.000952295255151072,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,22,IFNGR2,0.0370576356596857,0.0370576356596857,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,23,ATF4,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,23,BCL2L1,0.0331509701296623,0.0331509701296623,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,24,BCL2L1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,24,GSS,0.0203224996890808,0.0203224996890808,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,25,CALR,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,25,GCH1,0.0181630252122965,0.0181630252122965,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,26,CD274,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,26,GCLC,0.0175627294303365,0.0175627294303365,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,27,DERL1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,27,HSP90AB1,0.01712148188145,0.01712148188145,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,28,DHODH,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,28,SEL1L,0.0169933206197197,0.0169933206197197,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,29,EIF2AK3,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,29,STAT5A,0.0156316338376158,0.0156316338376158,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,30,FTH1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,30,IFNGR1,0.0151856706364651,0.0151856706364651,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,31,GLS,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,31,SLC7A11,0.0147016701003203,0.0147016701003203,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,32,GPX4,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,32,SOCS3,0.0127826099111726,0.0127826099111726,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,33,GSR,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,33,DERL1,0.0120885378514239,0.0120885378514239,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,34,GSS,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,34,SQSTM1,0.0108138447132155,0.0108138447132155,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,35,HSP90AB1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,35,GLS,0.00962433246949505,0.00962433246949505,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,36,IFNGR1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,36,DHODH,0.00868938530585325,0.00868938530585325,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,37,IFNGR2,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,37,FTH1,0.0075588611794388,0.0075588611794388,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,38,IRF1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,38,CALR,0.00729269976525788,0.00729269976525788,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,39,JAK2,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,39,UBE2G2,0.00383805085008566,0.00383805085008566,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,40,LAMP2,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,40,ATF4,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,41,PIM1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,41,CD274,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,42,SEL1L,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,42,GPX4,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,43,SLC7A11,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,43,GSR,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,44,SOCS3,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,44,IRF1,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,45,STAT1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,45,JAK2,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,46,STAT5A,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,46,LAMP2,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,47,SYVN1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,47,PIM1,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,48,TXNRD1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,48,STAT1,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,49,UBE2G2,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,49,SYVN1,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,50,VCP,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,50,TXNRD1,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,51,XBP1,0,,0,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,51,VCP,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,52,JAK1,-0.000347500668270462,,0.000283172923141243,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,52,XBP1,0,0,,xgboost_predcontrib_SHAP
