feature_set,interpretation_class,algorithm,rank,gene_symbol,importance,mean_abs_shap,importance_sd,explanation_method
FS-B_33_cross_platform_candidates,independent-like,XGBoost,15,TNFSF12-TNFSF13,0.0593473779392897,0.0593473779392897,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,16,EPB41L3,4.00962309542674e-05,,6.45610654289458e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,16,NINJ1,0.0490785262377857,0.0490785262377857,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,17,PRKCD,2.67308206361783e-05,,5.63535179571696e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,17,SAT1,0.046224025493983,0.046224025493983,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,18,SEL1L3,2.67308206361783e-05,,5.63535179571696e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,18,HOXB5,0.0375051222596253,0.0375051222596253,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,19,PMM1,2.67308206361561e-05,,0.000105427778367608,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,19,ITGB2,0.0251839948505852,0.0251839948505852,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,20,FTH1,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,20,KCNE1,0.0233846823886748,0.0233846823886748,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,21,HOXB5,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,21,NEDD9,0.0220896435277052,0.0220896435277052,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,22,ITGAM,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,22,THBS1,0.0220091664326523,0.0220091664326523,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,23,KCNQ1,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,23,SLC16A3,0.021269855886224,0.021269855886224,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,24,KIAA0513,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,24,FTH1,0.0211850778937254,0.0211850778937254,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,25,NEDD9,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,25,KIAA0513,0.020230205234334,0.020230205234334,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,26,TNFSF12-TNFSF13,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,26,BCL2L11,0.0199560368436286,0.0199560368436286,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,27,KCNE1,-2.22044573161296e-17,,8.91027354539646e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,27,SLC8A1,0.0190364319973792,0.0190364319973792,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,28,HOXB6,-1.33654103181002e-05,,4.22651384679123e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,28,MYOF,0.0165871984642968,0.0165871984642968,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,29,BCL2L11,-2.67308206362005e-05,,5.63535179572164e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,29,KCNQ1,0.0156255301970967,0.0156255301970967,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,30,MYOF,-2.67308206362005e-05,,5.63535179572164e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,30,HOXB6,0.0136365518835239,0.0136365518835239,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,31,MYO7A,-2.67308206362116e-05,,8.45302769358012e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,31,PMM1,0.0124122004476887,0.0124122004476887,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,32,THBS1,-4.00962309543007e-05,,6.45610654289994e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,32,FGR,0,0,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,33,CTSD,-5.34616412724009e-05,,6.90186821029746e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,33,ITGAM,0,0,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,1,ARHGEF5,0.00729751403368092,,0.00207649523318711,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,1,CLCN5,0.451466113479668,0.451466113479668,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,2,CLCN5,0.00637530072173222,,0.00174951354820169,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,2,ARHGEF5,0.425627222726111,0.425627222726111,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,3,TRIM32,0.00279337075648227,,0.000900885499605068,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,3,TRIM32,0.323472995192588,0.323472995192588,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,4,ITGB2,0.00167067628976213,,0.00029719469090543,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,4,SEL1L3,0.278648520394557,0.278648520394557,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,5,FGR,0.00156375300721738,,0.000126795415403707,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,5,MYO7A,0.219315548809622,0.219315548809622,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,6,SEL1L3,0.00149692595562689,,0.000747613898722377,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,6,VDR,0.168317634491196,0.168317634491196,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,7,BCL2L11,0.00139000267308214,,0.000727156937114959,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,7,KCNE1,0.121445010938396,0.121445010938396,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,8,VDR,0.00129644480085546,,0.000315340610695642,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,8,ITGAM,0.0901645793784087,0.0901645793784087,,xgboost_predcontrib_SHAP
