gene_symbol,module_color
PTRH1,red
IQCG,red
MYO15A,red
SLC25A24,blue
GLIPR1,blue
LTB4R,red
SPATA20,red
ATP5J2,red
RMND5B,blue
NPC2,blue
CHCHD10,red
PYCARD,red
ATP6V0D1,red
ZBTB47,red
SRD5A1,blue
C10orf125,red
TMEM88,red
POLE4,red
LOC100288778,red
TMEM38B,magenta
FAM45B,tan
HLA-H,red
FLJ39582,magenta
BMF,blue
LRRC3,red
LRP10,red
HMHA1,red
VASP,red
GNPDA1,blue
PLCD1,red
FTH1,blue
MEI1,red
HEXIM2,red
C22orf9,blue
POR,red
TOM1,red
FLNA,red
LOC606724,red
REEP5,blue
UAP1L1,red
RINL,red
TMSL3,blue
RAB3D,blue
RAB42,tan
SDF2L1,red
HDAC11,red
LPAR2,red
IMPDH1,red
CITED2,tan
GNS,blue
FAM173A,red
APLP2,blue
EHBP1L1,blue
DRAM1,blue
PREX1,blue
CPD,tan
NBPF14,blue
CPEB4,blue
ASL,red
KIF21B,red
FNIP2,blue
NDFIP1,blue
TP53I13,red
NADK,blue
HDHD1A,blue
KHK,magenta
IFNGR1,blue
SEMA4B,blue
RASSF7,red
PLXNB2,blue
FAM109B,red
PDLIM2,red
MRPL33,tan
TRERF1,tan
TMEM104,red
STX2,red
OCEL1,red
ZNF296,red
ACP2,red
SRCRB4D,red
FAM65A,blue
FRAT2,blue
FLOT1,blue
CD302,blue
FUCA1,blue
SNX18,blue
FYN,blue
CNTNAP1,blue
C9orf21,red
TMSB10,red
C5orf58,blue
PPP2R5B,red
REPS2,blue
LCAT,red
UCP2,red
DOCK10,blue
TGFB1,red
TNFAIP8L2,blue
ASAP1,blue
SKAP2,blue
NRADDP,red
ARHGAP27,blue
PDE4D,tan
MAP2K6,blue
MAN2B1,red
FNDC3B,tan
MYO1G,red
TMEM120A,red
GCA,blue
C5orf39,magenta
NCEH1,blue
VOPP1,blue
HSPA1A,red
PAPLN,red
JAK2,blue
ADD3,blue
TMEM229B,blue
SLCO3A1,red
FAM50A,red
IL4I1,red
PGCP,blue
FRAT1,red
ADCY7,blue
STX3,blue
TRPV2,red
DUSP7,blue
LACTB,blue
PITPNC1,blue
MOBKL2A,blue
RELT,blue
FLJ23867,tan
SNN,blue
OSBPL11,blue
AMDHD2,red
METTL7A,blue
ZYX,red
TST,red
G6PD,red
TAGLN2,red
FOXP4,red
C14orf80,red
SLC30A1,blue
MAST3,blue
SH3BGRL3,red
ANXA6,red
TMEM71,blue
LOC100132287,red
LRPAP1,red
PQLC2,red
ABTB1,red
FAM195A,red
LPXN,blue
C1orf85,red
FKBP5,blue
MRPL41,red
CPNE3,blue
CCRN4L,tan
GM2A,blue
RDH5,red
CALR,tan
RAB20,red
BEX4,magenta
P2RX1,red
PSTPIP2,blue
CSTB,red
LOC100129550,blue
TRAPPC5,red
SAP30,red
ANKRD13D,red
IRF5,blue
PFKFB3,blue
CPNE2,red
DIRC2,blue
CCND3,red
GPR18,blue
C20orf12,magenta
RGS14,red
ADARB1,magenta
ZNF318,blue
RASSF2,blue
NPPA,red
AGPAT3,blue
ACVR1B,red
PPPDE2,blue
KCTD11,red
MARCH2,red
RELB,red
P4HB,tan
