gene_symbol,module_color
LPPR3,tan
ABCC3,blue
CD300C,blue
DIRAS3,magenta
FCGR2C,blue
SIGLEC11,blue
SLC26A11,blue
ACOX2,blue
CPAMD8,blue
TMEM150B,blue
HNRPLL,blue
C12orf59,tan
MPPED1,magenta
TMTC1,blue
CUEDC1,blue
PDE4A,blue
ARAP3,blue
CGREF1,magenta
PECR,blue
ITGA7,red
KIR3DX1,blue
ZNF366,blue
TNF,red
SEMA5A,magenta
SCPEP1,blue
ARHGAP24,blue
PTPRO,blue
NCF2,blue
RTN1,blue
VSIG4,blue
CATSPER1,red
GPBAR1,blue
BIK,tan
PRKCDBP,red
AFF2,tan
NOD2,blue
P2RY13,blue
CLCN1,blue
SAMHD1,blue
FCGR2B,blue
C17orf87,blue
CD200R1,blue
ANKRD34B,blue
HSPA6,blue
DYSFIP1,tan
RGMA,red
GIMAP4,blue
CILP2,tan
FRMD3,blue
TP73,red
ARHGAP22,magenta
ALOX5,blue
ODF3B,red
PDZD7,red
ANK3,magenta
KRT80,blue
LY96,blue
NMUR1,blue
FAM83A,magenta
GPR124,blue
CPVL,blue
ZNF503,red
IGSF6,blue
CEBPE,tan
TBC1D12,blue
DACH1,blue
PTPRH,red
GIMAP8,blue
TREM1,blue
HOXA10,magenta
OR52K1,blue
SGK1,blue
MARCKS,blue
SPOCK1,blue
SPINT1,blue
ELOVL3,tan
WBP5,magenta
CSTA,red
PBX3,magenta
WNT6,red
OPLAH,blue
GPR77,blue
RPH3A,blue
CCR5,blue
HRH1,blue
CREB5,blue
F3,tan
DGAT2,blue
MS4A14,blue
OTOF,blue
NKX3-1,magenta
TYMP,red
CLEC1A,blue
IGF2R,blue
RAB31,blue
GPR120,blue
MYBPH,blue
LOC441204,magenta
CTSH,blue
EXT1,blue
CES8,blue
C9orf109,tan
PTAFR,blue
ABCC6P2,red
RAB38,magenta
SLED1,blue
BVES,blue
ITGAM,blue
FAM174B,magenta
IL10,blue
ULBP1,magenta
TBX1,tan
LOC729603,blue
FAM92A1,magenta
LARP6,magenta
CAMK2D,blue
ALOX5AP,blue
MANSC1,blue
LILRA1,blue
PRKCZ,magenta
PPFIBP2,blue
SCN8A,magenta
KLK1,blue
ANXA5,blue
FCGR3A,blue
OR52K2,blue
SMARCD3,red
CST3,red
CFD,tan
RUFY4,blue
TRIM36,blue
FZD8,blue
TAS2R60,blue
RNASE3,tan
NR4A1,blue
TUBBP5,blue
C20orf118,blue
COL8A2,blue
TNFRSF1B,blue
GLT25D2,tan
TBC1D9,blue
RIN2,blue
OCLN,magenta
GPR84,blue
MT1F,red
CKAP4,blue
SLC47A1,blue
NOTUM,magenta
ZNF703,blue
RGS2,blue
PLD2,blue
IER3,blue
VDR,blue
EMR1,blue
LOC100271722,magenta
FLJ42875,magenta
C19orf38,blue
LYPD5,blue
PLCL1,blue
BCAN,magenta
ARHGEF5,magenta
TMEM132A,blue
COLEC12,blue
ETV5,magenta
VIPR1,blue
RASSF4,blue
ZNF648,magenta
DYSF,blue
SGSH,blue
PLA2G2F,red
TNFAIP8L3,tan
FAM83H,red
FGD4,blue
CRIP1,red
DDI1,magenta
WWC1,magenta
S100A10,red
C1orf161,red
PHLDA1,tan
NDRG2,blue
MYO1E,blue
SHROOM1,red
LPAR1,blue
BMPR1A,red
TMEM38A,blue
TNFSF12,blue
TARP,tan
SLC24A4,blue
LSP1,blue
KCNQ1,red
CD93,blue
PID1,blue
TNFSF9,red
F12,red
RNASE2,tan
SLC43A2,blue
SLC9A9,blue
CELA1,red
PTPRU,tan
FCER1G,blue
HPSE,blue
OR2A7,magenta
TNFRSF8,blue
IL13RA1,blue
LOC285780,blue
LMNA,red
SATB2,red
COCH,tan
DTX4,blue
BAG3,blue
PLA2G2D,blue
ARHGEF35,magenta
SLC16A6,blue
LPAR3,red
HOXA11AS,magenta
NPL,blue
SEPT3,blue
TRNP1,blue
C9orf110,tan
HORMAD1,blue
RASAL2,tan
HOXA1,magenta
ACPP,blue
RHOU,blue
HAL,tan
TMEM117,blue
C2orf58,blue
TGFA,tan
MNDA,blue
SYT17,blue
CELSR1,red
LRP3,tan
SYN2,blue
CLDN23,blue
CARD14,blue
TLR4,blue
COL28A1,magenta
FCGR1C,blue
GFRA2,blue
GPR34,blue
CST7,tan
RAB11FIP5,blue
SGCB,red
RET,red
TTC12,red
SAMD4A,blue
ACOT4,magenta
FER1L6,magenta
IL10RA,blue
C1orf54,blue
CADM1,blue
CCL3,red
CD4,blue
SLCO4C1,blue
FAM114A1,blue
CHST4,magenta
MMEL1,blue
FCGR2A,blue
BCL6,blue
PGM5,blue
SCD5,magenta
OASL,blue
CRIP3,blue
FAM82A1,blue
SOX13,red
FAM105A,blue
GAS2L3,magenta
ROPN1L,tan
CASP5,blue
SLC26A8,tan
PGBD5,tan
CXCL10,blue
LILRB5,blue
PCSK5,blue
AIFM3,red
NHS,blue
NR6A1,magenta
CRISPLD1,magenta
RCN3,blue
STX11,blue
AOAH,blue
TPST1,blue
RASGRP3,magenta
TREML3,red
ANXA2,blue
TMCC3,blue
RIN1,red
TRPC2,magenta
VSIG2,blue
