"Package","Version","LibPath","Priority"
"jsonlite","2.0.0","D:/R/R-4.5.1/library",NA
"knitr","1.51","D:/R/R-4.5.1/library",NA
"labeling","0.4.3","D:/R/R-4.5.1/library",NA
"lambda.r","1.2.4","D:/R/R-4.5.1/library",NA
"lattice","0.22-7","D:/R/R-4.5.1/library","recommended"
"lava","1.8.2","D:/R/R-4.5.1/library",NA
"lifecycle","1.0.4","D:/R/R-4.5.1/library",NA
"limma","3.66.0","D:/R/R-4.5.1/library",NA
"listenv","0.9.1","D:/R/R-4.5.1/library",NA
"locfit","1.5-9.12","D:/R/R-4.5.1/library",NA
"lubridate","1.9.4","D:/R/R-4.5.1/library",NA
"magick","2.9.1","D:/R/R-4.5.1/library",NA
"magrittr","2.0.4","D:/R/R-4.5.1/library",NA
"matrixStats","1.5.0","D:/R/R-4.5.1/library",NA
"memoise","2.0.1","D:/R/R-4.5.1/library",NA
"memuse","4.2-3","D:/R/R-4.5.1/library",NA
"methods","4.5.1","D:/R/R-4.5.1/library","base"
"mgcv","1.9-3","D:/R/R-4.5.1/library","recommended"
"mime","0.13","D:/R/R-4.5.1/library",NA
"neuralnet","1.44.2","D:/R/R-4.5.1/library",NA
"nlme","3.1-168","D:/R/R-4.5.1/library","recommended"
"nnet","7.3-20","D:/R/R-4.5.1/library","recommended"
"numDeriv","2016.8-1.1","D:/R/R-4.5.1/library",NA
"openssl","2.4.2","D:/R/R-4.5.1/library",NA
"pROC","1.19.0.1","D:/R/R-4.5.1/library",NA
"parallel","4.5.1","D:/R/R-4.5.1/library","base"
"parallelly","1.45.1","D:/R/R-4.5.1/library",NA
"patchwork","1.3.2","D:/R/R-4.5.1/library",NA
"pillar","1.11.1","D:/R/R-4.5.1/library",NA
"pkgconfig","2.0.3","D:/R/R-4.5.1/library",NA
"plyr","1.8.9","D:/R/R-4.5.1/library",NA
"png","0.1-9","D:/R/R-4.5.1/library",NA
"prettyunits","1.2.0","D:/R/R-4.5.1/library",NA
"prodlim","2025.04.28","D:/R/R-4.5.1/library",NA
"progress","1.2.3","D:/R/R-4.5.1/library",NA
"progressr","0.17.0","D:/R/R-4.5.1/library",NA
"proxy","0.4-27","D:/R/R-4.5.1/library",NA
"purrr","1.1.0","D:/R/R-4.5.1/library",NA
"ragg","1.5.2","D:/R/R-4.5.1/library",NA
"rappdirs","0.3.4","D:/R/R-4.5.1/library",NA
"readr","2.2.0","D:/R/R-4.5.1/library",NA
"readxl","1.5.0","D:/R/R-4.5.1/library",NA
"recipes","1.3.1","D:/R/R-4.5.1/library",NA
"rematch","2.0.0","D:/R/R-4.5.1/library",NA
"reshape2","1.4.4","D:/R/R-4.5.1/library",NA
"rjson","0.2.23","D:/R/R-4.5.1/library",NA
"rlang","1.1.6","D:/R/R-4.5.1/library",NA
"rpart","4.1.24","D:/R/R-4.5.1/library","recommended"
"rsvd","1.0.5","D:/R/R-4.5.1/library",NA
"rvest","1.0.5","D:/R/R-4.5.1/library",NA
"scales","1.4.0","D:/R/R-4.5.1/library",NA
"selectr","0.5-1","D:/R/R-4.5.1/library",NA
"shape","1.4.6.1","D:/R/R-4.5.1/library",NA
"snow","0.4-4","D:/R/R-4.5.1/library",NA
"sparseMatrixStats","1.22.0","D:/R/R-4.5.1/library",NA
"sparsevctrs","0.3.4","D:/R/R-4.5.1/library",NA
"spatial","7.3-18","D:/R/R-4.5.1/library","recommended"
"splines","4.5.1","D:/R/R-4.5.1/library","base"
"statmod","1.5.2","D:/R/R-4.5.1/library",NA
"stats","4.5.1","D:/R/R-4.5.1/library","base"
"stats4","4.5.1","D:/R/R-4.5.1/library","base"
"stringi","1.8.7","D:/R/R-4.5.1/library",NA
"stringr","1.5.2","D:/R/R-4.5.1/library",NA
"survival","3.8-3","D:/R/R-4.5.1/library","recommended"
"survivalROC","1.0.3.1","D:/R/R-4.5.1/library",NA
"svglite","2.2.2","D:/R/R-4.5.1/library",NA
"sys","3.4.3","D:/R/R-4.5.1/library",NA
"systemfonts","1.3.2","D:/R/R-4.5.1/library",NA
"tcltk","4.5.1","D:/R/R-4.5.1/library","base"
"textshaping","1.0.5","D:/R/R-4.5.1/library",NA
"this.path","2.7.0","D:/R/R-4.5.1/library",NA
"tibble","3.3.0","D:/R/R-4.5.1/library",NA
"tidyr","1.3.1","D:/R/R-4.5.1/library",NA
"tidyselect","1.2.1","D:/R/R-4.5.1/library",NA
"timeDate","4051.111","D:/R/R-4.5.1/library",NA
"timechange","0.3.0","D:/R/R-4.5.1/library",NA
"tools","4.5.1","D:/R/R-4.5.1/library","base"
"translations","4.5.1","D:/R/R-4.5.1/library",NA
"tzdb","0.5.0","D:/R/R-4.5.1/library",NA
"utf8","1.2.6","D:/R/R-4.5.1/library",NA
"utils","4.5.1","D:/R/R-4.5.1/library","base"
"vctrs","0.6.5","D:/R/R-4.5.1/library",NA
"viridisLite","0.4.2","D:/R/R-4.5.1/library",NA
"vroom","1.7.1","D:/R/R-4.5.1/library",NA
"withr","3.0.2","D:/R/R-4.5.1/library",NA
"xfun","0.58","D:/R/R-4.5.1/library",NA
"xml2","1.5.2","D:/R/R-4.5.1/library",NA
"xtable","1.8-8","D:/R/R-4.5.1/library",NA
"yaml","2.3.12","D:/R/R-4.5.1/library",NA
